Section,Date,Result,Measure_Number,Measure_Title,Senator,Party,State,Vote
Vote,,,,,Cornyn,R,TX,Not Voting
Vote,,,,,Cortez Masto,D,NV,Yea
Vote,,,,,Cotton,R,AR,Nay
Vote,,,,,Cramer,R,ND,Not Voting
Vote,,,,,Crapo,R,ID,Nay
Vote,,,,,Cruz,R,TX,Nay
Vote,,,,,Daines,R,MT,Not Voting
Vote,,,,,Duckworth,D,IL,Yea
Vote,,,,,Durbin,D,IL,Yea
Vote,,,,,Ernst,R,IA,Not Voting
Vote,,,,,Feinstein,D,CA,Not Voting
Vote,,,,,Fischer,R,NE,Not Voting
Vote,,,,,Gillibrand,D,NY,Yea
Vote,,,,,Graham,R,SC,Not Voting
Vote,,,,,Grassley,R,IA,Nay
Vote,,,,,Hagerty,R,TN,Nay
Vote,,,,,Hassan,D,NH,Yea
Vote,,,,,Hawley,R,MO,Nay
Vote,,,,,Heinrich,D,NM,Yea
Vote,,,,,Hickenlooper,D,CO,Yea
Vote,,,,,Hirono,D,HI,Yea
Vote,,,,,Hoeven,R,ND,Nay
Vote,,,,,Hyde-Smith,R,MS,Not Voting
Vote,,,,,Inhofe,R,OK,Not Voting
Vote,,,,,Johnson,R,WI,Not Voting
Vote,,,,,Kaine,D,VA,Not Voting
Vote,,,,,Kelly,D,AZ,Yea
Vote,,,,,Kennedy,R,LA,Nay
Vote,,,,,King,I,ME,Yea
Vote,,,,,Klobuchar,D,MN,Yea
Vote,,,,,Lankford,R,OK,Nay
Vote,,,,,Leahy,D,VT,Yea
Vote,,,,,Lee,R,UT,Nay
Vote,,,,,Lujan,D,NM,Yea
Vote,,,,,Lummis,R,WY,Not Voting
Vote,,,,,Manchin,D,WV,Not Voting
Vote,,,,,Markey,D,MA,Yea
Vote,,,,,Marshall,R,KS,Nay
Vote,,,,,McConnell,R,KY,Not Voting
Vote,,,,,Menendez,D,NJ,Yea
Vote,,,,,Merkley,D,OR,Yea
Vote,,,,,Moran,R,KS,Not Voting
Vote,,,,,Murkowski,R,AK,Not Voting
Vote,,,,,Murphy,D,CT,Yea
Vote,,,,,Murray,D,WA,Not Voting
Vote,,,,,Ossoff,D,GA,Not Voting
Vote,,,,,Padilla,D,CA,Yea
Vote,,,,,Paul,R,KY,Not Voting
Vote,,,,,Peters,D,MI,Yea
Vote,,,,,Portman,R,OH,Not Voting
Vote,,,,,Reed,D,RI,Yea
Vote,,,,,Risch,R,ID,Not Voting
Vote,,,,,Romney,R,UT,Not Voting
Vote,,,,,Rosen,D,NV,Yea
Vote,,,,,Rounds,R,SD,Not Voting
Vote,,,,,Rubio,R,FL,Nay
Vote,,,,,Sanders,I,VT,Not Voting
Vote,,,,,Sasse,R,NE,Nay
Vote,,,,,Schatz,D,HI,Yea
Vote,,,,,Schumer,D,NY,Yea
Vote,,,,,Scott,R,FL,Nay
Vote,,,,,Scott,R,SC,Nay
Vote,,,,,Shaheen,D,NH,Yea
Vote,,,,,Shelby,R,AL,Not Voting
Vote,,,,,Sinema,D,AZ,Not Voting
Vote,,,,,Smith,D,MN,Yea
Vote,,,,,Stabenow,D,MI,Yea
Vote,,,,,Sullivan,R,AK,Nay
Vote,,,,,Tester,D,MT,Yea
Vote,,,,,Thune,R,SD,Nay
Vote,,,,,Tillis,R,NC,Nay
Vote,,,,,Toomey,R,PA,Not Voting
Vote,,,,,Tuberville,R,AL,Nay
Vote,,,,,Van Hollen,D,MD,Yea
Vote,,,,,Warner,D,VA,Yea
Vote,,,,,Warnock,D,GA,Yea
Vote,,,,,Warren,D,MA,Yea
Vote,,,,,Whitehouse,D,RI,Yea
Vote,,,,,Wicker,R,MS,Nay
Vote,,,,,Wyden,D,OR,Yea
Vote,,,,,Young,R,IN,Nay
Metadata,"December 18, 2021, 12:35 AM",Nomination Confirmed,QUESTION,"On the Nomination (Confirmation: Mary Katherine Dimke, of Washington, to be U.S. District Judge for the Eastern District of Washington ) Vote Number: 525 Vote Date: December 18, 2021, 12:35 AM Required For Majority: 1/2 Vote Result: Nomination Confirmed Nomination Number: PN997 Nomination Description: Mary Katherine Dimke, of Washington, to be United States District Judge for the Eastern District of Washington",,,,
Vote,,,,,Baldwin,D,WI,Yea
Vote,,,,,Barrasso,R,WY,Not Voting
Vote,,,,,Bennet,D,CO,Yea
Vote,,,,,Blackburn,R,TN,Not Voting
Vote,,,,,Blumenthal,D,CT,Yea
Vote,,,,,Blunt,R,MO,Nay
Vote,,,,,Booker,D,NJ,Yea
Vote,,,,,Boozman,R,AR,Nay
Vote,,,,,Braun,R,IN,Nay
Vote,,,,,Brown,D,OH,Yea
Vote,,,,,Burr,R,NC,Not Voting
Vote,,,,,Cantwell,D,WA,Yea
Vote,,,,,Capito,R,WV,Not Voting
Vote,,,,,Cardin,D,MD,Yea
Vote,,,,,Carper,D,DE,Yea
Vote,,,,,Casey,D,PA,Yea
Vote,,,,,Cassidy,R,LA,Nay
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Yea
Vote,,,,,Cornyn,R,TX,Not Voting
Vote,,,,,Cortez Masto,D,NV,Yea
Vote,,,,,Cotton,R,AR,Nay
Vote,,,,,Cramer,R,ND,Not Voting
Vote,,,,,Crapo,R,ID,Nay
Vote,,,,,Cruz,R,TX,Nay
Vote,,,,,Daines,R,MT,Not Voting
Vote,,,,,Duckworth,D,IL,Yea
Vote,,,,,Durbin,D,IL,Yea
Vote,,,,,Ernst,R,IA,Not Voting
Vote,,,,,Feinstein,D,CA,Not Voting
Vote,,,,,Fischer,R,NE,Not Voting
Vote,,,,,Gillibrand,D,NY,Yea
Vote,,,,,Graham,R,SC,Not Voting
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Hagerty,R,TN,Nay
Vote,,,,,Hassan,D,NH,Yea
Vote,,,,,Hawley,R,MO,Nay
Vote,,,,,Heinrich,D,NM,Yea
Vote,,,,,Hickenlooper,D,CO,Yea
Vote,,,,,Hirono,D,HI,Yea
Vote,,,,,Hoeven,R,ND,Nay
Vote,,,,,Hyde-Smith,R,MS,Not Voting
Vote,,,,,Inhofe,R,OK,Not Voting
Vote,,,,,Johnson,R,WI,Not Voting
Vote,,,,,Kaine,D,VA,Not Voting
Vote,,,,,Kelly,D,AZ,Yea
Vote,,,,,Kennedy,R,LA,Nay
Vote,,,,,King,I,ME,Yea
Vote,,,,,Klobuchar,D,MN,Yea
Vote,,,,,Lankford,R,OK,Nay
Vote,,,,,Leahy,D,VT,Yea
Vote,,,,,Lee,R,UT,Nay
Vote,,,,,Lujan,D,NM,Yea
Vote,,,,,Lummis,R,WY,Not Voting
Vote,,,,,Manchin,D,WV,Not Voting
Vote,,,,,Markey,D,MA,Yea
Vote,,,,,Marshall,R,KS,Nay
Vote,,,,,McConnell,R,KY,Not Voting
Vote,,,,,Menendez,D,NJ,Yea
Vote,,,,,Merkley,D,OR,Yea
Vote,,,,,Moran,R,KS,Not Voting
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Yea
Vote,,,,,Murray,D,WA,Not Voting
Vote,,,,,Ossoff,D,GA,Not Voting
Vote,,,,,Padilla,D,CA,Yea
Vote,,,,,Paul,R,KY,Not Voting
Vote,,,,,Peters,D,MI,Yea
Vote,,,,,Portman,R,OH,Not Voting
Vote,,,,,Reed,D,RI,Yea
Vote,,,,,Risch,R,ID,Not Voting
Vote,,,,,Romney,R,UT,Not Voting
Vote,,,,,Rosen,D,NV,Yea
Vote,,,,,Rounds,R,SD,Not Voting
Vote,,,,,Rubio,R,FL,Nay
Vote,,,,,Sanders,I,VT,Not Voting
Vote,,,,,Sasse,R,NE,Nay
Vote,,,,,Schatz,D,HI,Yea
Vote,,,,,Schumer,D,NY,Yea
Vote,,,,,Scott,R,FL,Nay
